"","Title","PublicationDate","Authors","Affiliations","Keywords","Objectives","Citation","PeriodCovered","StudyLocation","Funder","FileList","DOI"
"29","Comparative protein quality in black soldier fly larvae meal vs. soybean meal and fish meal using classical protein efficiency ratio (PER) chick growth assay model","2024-06-13","Cheng, Veronica; Shoveller, Anna Kate; Huber, Lee-Anne; Kiarie, Elijah G.","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Agricultural Sciences; PER chick growth assay; protein quality; black soldier fly larvae; broiler chicken; growth performance","Black soldier fly larvae meal (BSFLM) is a relatively new ingredient that has attracted attention for application in human, farm, and companion animal nutrition. However, there is limited data on protein quality (PQ) of BSFLM. This study compared PQ in BSFLM with soybean meal (SBM) and fishmeal (FM) using the classical protein efficiency ratio (PER) chick growth assay model. A total of 240-male day-old Ross × Ross broiler chicks were allocated to 6 test diets for 10 d test. The corn starch-dextrose based diets were: 5 test diets containing 10% crude protein (CP) from casein (as a standard assay diet), SBM, FM, or BSFLM without or with (BSFLM+) additional essential amino acids (EAA) to match the levels of the SBM diet on digestible basis. A sixth diet was nitrogen-free (NFD), to enable calculation of net protein ratio (NPR). The birds had ad libitum access to feed and water, body weight (BW) and feed intake (FI) were recorded at the beginning and end of the experimental feeding period. Body weight gain (BWG), gain to feed ratio (G:F), crude protein intake (CPI), PER, and NPR were calculated. The analyzed CP (as fed) was 10.1, 12.8, 9.5, 11.7, and 14.9% for casein, SBM, FM, BSFLM, and BSFLM+ diets, respectively. Birds fed BSFLM+ had greater BWG (P < 0.01) than birds fed other diets. Feed intake was greater (P < 0.01) for birds fed BSFLM+ and FM diets than birds fed other diets. Birds fed BSFLM+ ate (P < 0.01) more CP than birds fed other diets. Diets had no (P > 0.05) effects on PER and NPR. In terms of ranking, the PER was 2.44, 2.38, 2.34, 2.28, and 2.10 g BWG/g CPI for BSFLM+, SBM, FM, casein, and BSLM, respectively. Corresponding values for NPR were 2.69, 2.78, 2.70, 2.74, and 2.48 g BWG/g CPI, respectively. In conclusion, the protein quality of BSFLM without or with additional EAA was comparable with FM and SBM.","Veronica Cheng, Anna Kate Shoveller, Lee-Anne Huber, and Elijah G. Kiarie. 2022. Comparative protein quality in black soldier fly larvae meal vs. soybean meal and fish meal using classical protein efficiency ratio (PER) chick growth assay model. Poultry Science 102(1). https://doi.org/10.1016/j.psj.2022.102255","","Guelph, Ontario, Canada","Natural Sciences and Engineering Research Council of Canada; Ontario Agri-Food Innovation Alliance","100A_readmeTemplate.txt; ChengEtAl_Table2RawData.tab","doi:10.5683/SP3/OCOJXF"
"30","Effects of pretreating wheat middlings and sunflower meal with fiber degrading enzymes on components solubilization and utilization in broiler chickens","2024-05-07","Njeri, Felix M.; Patterson, Robert; Gachuiri, Charles K.; Kiarie, Elijah G.","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; CBS Bio Platforms Inc.; Department of Animal Production. University of Nairobi.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Agricultural Sciences; broiler chicken; enzymes; in vitro digestion","The dataset is for an experiment that evaluated the effects of pretreating wheat middlings and sunflower meal with fiber degrading enzymes on components solubilization and utilization in broiler chickens.","Felix M Njeri, Robert Patterson, Charles K Gachuiri, Elijah G Kiarie, Effects of pretreating wheat middlings and sunflower meal with fiber degrading enzymes on components solubilization and utilization in broiler chickens, Translational Animal Science, Volume 7, Issue 1, 2023, txad108.","","Guelph, Ontario, Canada","Natural Sciences and Engineering Research Council of Canada; Ontario Agri-Food Innovation Alliance","100A_NjeriEtAl_readme.txt; NjeriEtAl_Table3RawData.tab; NjeriEtAl_Table4RawData.tab; NjeriEtAl_Table5RawData.tab; NjeriEtAl_Table7RawData.tab; NjeriEtAl_Table8RawData.tab","doi:10.5683/SP3/ETKIWR"
"31","Comparative growth performance, gizzard weight, ceca digesta short chain fatty acids and nutrient utilization in broiler chickens and turkey poults in response to cereal grain type, fiber level, and multienzyme supplement fed from hatch to 28 days of life","2024-05-07","Njeri, Felix M.; Sanchez, Juan; Patterson, Robert; Kiarie, Elijah G.","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; New-Life Mills, A division of Parrish & Heimbecker.; CBS BioPlatforms Inc.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Agricultural Sciences; broiler chicken; turkey; fiber degrading enzymes; fiber","The dataset is for an experiment that evaluated the Comparative growth performance, gizzard weight, ceca digesta short chain fatty acids and nutrient utilization in broiler chickens and turkey poults in response to cereal grain type, fiber level, and multienzyme supplement fed from hatch to 28 days of life.","Njeri, F. M., Sanchez, J., Patterson, R., Gachuiri, C. K., & Kiarie, E. G. (2023). Comparative growth performance, gizzard weight, ceca digesta short chain fatty acids and nutrient utilization in broiler chickens and turkey poults in response to cereal grain type, fiber level, and multienzyme supplement fed from hatch to 28 days of life. Poultry science, 102(10), 102933.","","Guelph, Ontario, Canada","Natural Sciences and Engineering Research Council of Canada; Ontario Agri-Food Innovation Alliance","100A_NjeriEtAl_BroilerTurkeyReadme.txt; NjeriEtAl_BroilerTurkeyTable2.tab; NjeriEtAl_BroilerTurkeyTable3.tab; NjeriEtAl_BroilerTurkeyTable4.tab; NjeriEtAl_BroilerTurkeyTable5.tab; NjeriEtAl_BroilerTurkeyTable6.tab; NjeriEtAl_BroilerTurkeyTable7.tab","doi:10.5683/SP3/CKBXSR"
"32","Effects of lysine and methionine on mRNA expression of candidate transcription factors by primary bovine mammary epithelial cells","2024-05-30","Li, Boning; Edick, Ashlin; Fox, Madison; Doelman, John; Burgos, Sergio; Cant, John","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Science. McGill University.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Trouw Nutrition R&D; Department of Animal Science. McGill University.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Agricultural Sciences; amino acid; transcription factor; protein synthesis; cell proliferation","The dataset originates from an experiment investigating the effects of lysine and methionine on mRNA expression of candidate transcription factors in primary bovine mammary epithelial cells. The objective of this study is evaluate if and when the candidate gene expression in bovine mammary epithelial cell is affected after imposing an essential amino acid deficiency in vitro, and to evaluate effects of essential amino acid deficiency on protein synthesis, endoplasmic reticulum size, cell proliferation and lipogenesis.","Li, Boning, Edick, Ashlin M., Fox, Madison K., Doelman, John, Burgos, Sergio A., and Cant, John P. Effects of lysine and methionine on mRNA expression of candidate transcription factors by primary bovine mammary epithelial cells. [Submitted].","","Guelph, Ontario, Canada, University of Guelph","Trouw Nutrition Canada Inc.; Natural Sciences and Engineering Research Council of Canada","00_readme-1.txt; 01_GeneExpressionSASInput.tab; 03_WesternBlotIsotopesSASInput.tab; 02_SAScodeGeneExpression.txt; 04_SAScodeWesternBlotIsotopes.txt","doi:10.5683/SP3/CEHUCP"
"33","Market validation through customer-focused sensory analysis of functional bakery goods","2022-06-24","Sharma, Madhu; Duizer, Lisa","Department of Food Science. Ontario Agricultural College. University of Guelph.; Department of Food Science. Ontario Agricultural College. University of Guelph.","Agricultural Sciences; bread mix; muffin mix; consumer survey response","With growing market demand for healthy diet, more and more people are looking for easy-to use, healthy, and tasty bakery products. The pandemic had seen an increase in home baking with people desiring to bake their own bread and cakes. Sourdough is considered to be healthier and tastier than conventional bread due to long fermentation times. This bread must be made from scratch, requiring time and resources. A company has developed a ready-to-use dry multigrain sourdough bread mix using local ingredients that takes less time to prepare while still allowing consumers to have a home baking experience. A sugar-free cake mix was also formulated which could be used to make cakes, muffins, and cup cakes. This healthy high-fibre mix is a basic mix which has endless possibilities of making variations as per customers choice such as adding raspberry, blueberry, or chocolate. Market validation is needed to better understand the potential market demand and consumer requirements for the product attributes of these two products (e.g., flavor, texture, ingredient, price etc.). For the test, the mixes were home delivered to the interested participants. They had to bake the products, taste them and complete an online survey. The survey had questions on various aspects - demographics, product baking experience, taste and texture of product, liking, recommendation, consumption and purchase intent.","","2021-09-01/2021-12-31","Ontario, Canada","Ontario Agri-Food Innovation Alliance; Ontario Ministry of Agriculture, Food and Rural Affairs","100A_bakeryStudy_readme.txt; Data_BreadMix_BakeryRelatedDemographicQs.csv; Data_BreadMix_BreadBaking.csv; Data_BreadMix_BuyingQ.csv; Data_BreadMix_JustAboutRight.csv; Data_BreadMix_LikingQs.csv; Data_BreadMix_satisfactionRecommendConsume.csv; Data_BreadMix_SimilarityQs.csv; Data_BreadMix_totalParticipantsAgeGender.csv; Data_MuffinMix_BakeryRelated_DemographicQs.csv; Data_MuffinMix_BuyingQ.csv; Data_MuffinMix_JustAboutRight.csv; Data_MuffinMix_LikingQs.csv; Data_MuffinMix_MuffinBaking.csv; Data_MuffinMix_SatisfactionRecommendConsume.csv; Data_MuffinMix_SimilarityQs.csv; Data_MuffinMix_totalParticipantsAgeGender.csv","doi:10.5683/SP3/4RA3KT"
"34","Major Coloured Bean Registration Trials, Elora, Kippen, Monkton, St. Thomas and Woodstock, Ontario [Canada] 2012","2013-10-04","Navabi, Dr. Ali; Pauls, Dr. Peter","Agriculture Agri-Food Canada/Department of Plant Agriculture. Ontario Agricultural College. University of Guelph; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph","Agricultural Sciences; Agriculture; Plant culture; Seeds; Seed Technology; Food Crops; Field Crops; Applied genetic research; Coloured bean varieties; Common bacterial blight; Cranberry; Dark red kidney; Disease tolerance; Dry beans; Field bean breeding; Light red kidney; Productivity; White kidney; White mould","This study is part of the Field Bean Breeding Program, a multi-disciplinary approach towards developing bean varieties for sustainable dry bean production in Ontario. As part of this program, registration and performance tests are conducted annually at various locations across the main bean growing areas in Ontario. This study provides the results of the 2012 Major Coloured Bean Registration Trial where several varieties of coloured beans were evaluated in multi-location yield-trials across Ontario. Coloured bean entries were planted in four replicated test plots at five locations across Ontario; Elora, Kippen, Monkton, St. Thomas, and Woodstock. Agronomic data including yield (adjusted to 18% moisture after combine harvest), days to maturity (number of days from planting to maturity), seed weight (estimated for 100 seeds), and seed quality were collected for each plot in each location. White mould and common bacterial blight resistance were tested at Agriculture and Agri-Food Canada (AAFC) Greenhouse and Processing Crops Research Centre (GPCRC), Harrow, Ontario.","","2012/2012","Canada, Ontario, Elora, Kippen, Monkton, St. Thomas, Woodstock","Ontario Ministry of Agriculture and Food; Ontario Coloured Bean Growers","Codebook_Major_Coloured_Bean_Registration_Trial.pdf; Major_Coloured_Bean_Registration_Trial_2012.csv","hdl:10864/5YE7Z"
"35","Glyphosate-resistant Canada fleabane (Conyza canadensis (L.) Cronq.) in Ontario: Distribution and Control in Soybean (Glycine max (L.) Merr.): Essex, Leamington, Wheatley, and Windsor, Essex County, Ontario [Canada] 2011 and 2012","2013-12-06","Byker, Holly; Sikkema, Peter","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph Ridgetown Campus; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph Ridgetown Campus","Agricultural Sciences; Agriculture; Plant Culture; Pests and Diseases; Weeds, parasitic plants; Canada fleabane; Canada horseweed; Conyza canadensis (L.) Cronq.; Erigeron canadensis (L.); Glycine max (L.) Merr.; Glyphosate-resistant; herbicide; postemergence; preplant; soybean","This dataset is comprised of two surveys examining the control of glyphosate resistant Canada Fleabane in soybean with 1) preplant herbicide tankmixes and 2) postemergence herbicides. The objective of the first survey was to identify preplant herbicide tankmixes that provide effective control of glyphosate-resistant Canada fleabane. Twelve field trials were conducted over a two year period (2011, 2012) at four farm locations in Essex County, Ontario to evaluate preplant herbicide tankmixes in glyphosate-resistant soybean for the control of Canada fleabane populations previously identified to be resistant to glyphosate. The first trial evaluated herbicides applied preplant with limited residual activity (Enhanced Burndown) while the second trial evaluated herbicides with residual activity for season long weed control (Burndown plus Residual). The objective of the second survey was to evaluate glyphosate and postemergence soybean herbicide efficacy on glyphosate-resistant Canada fleabane. Twelve field trials were conducted over a two year period (2011, 2012) at four farm locations in Essex County, Ontario. The first set of trials evaluated the level of glyphosate resistance in these populations (Biologically Effective Rate of Glyphosate) while the second set evaluated herbicides applied following soybean emergence (Postemergence Tankmixes).","Byker, Holly, P. Glyphosate-resistant Canada fleabane (Conyza canadensis (L.) Cronq.) in Ontario: Distribution and Control in Soybean (Glycine max (L.) Merr). M.Sc. in Plant Agriculture. University of Guelph. 2013. Available at:","2011/2012","Canada, Ontario, Essex, Leamington, Wheatley, Windsor","Monsanto Canada Inc.; The Grain Farmers of Ontario; The Agricultural Adaptation Council","FCWM_GRCF_HB_POST_BER_CF_YLD_2011.tab; FCWM_GRCF_HB_POST_BER_CF_YLD_2012.tab; FCWM_GRCF_HB_POST_BER_CodeBook_2011.pdf; FCWM_GRCF_HB_POST_BER_CodeBook_2012.pdf; FCWM_GRCF_HB_POST_BER_RESPONSE_2011.tab; FCWM_GRCF_HB_POST_BER_RESPONSE_2012.tab; FCWM_GRCF_HB_POST_BER_SITEDESCRIP_2011.tab; FCWM_GRCF_HB_POST_BER_SITEDESCRIP_2012.tab; FCWM_GRCF_HB_POST_BER_SOY_YLD_2012.tab; FCWM_GRCF_HB_POST_PT_CF_YLD_2011.tab; FCWM_GRCF_HB_POST_PT_CF_YLD_2012.tab; FCWM_GRCF_HB_POST_PT_CodeBook_2011.pdf; FCWM_GRCF_HB_POST_PT_CodeBook_2012.pdf; FCWM_GRCF_HB_POST_PT_RESPONSE_2011.tab; FCWM_GRCF_HB_POST_PT_RESPONSE_2012.tab; FCWM_GRCF_HB_POST_PT_SITEDESCRIP_2011.tab; FCWM_GRCF_HB_POST_PT_SITEDESCRIP_2012.tab; FCWM_GRCF_HB_POST_PT_SOY_YLD_2012.tab; FCWM_GRCF_HB_PP_BDR_CF_YLD_2011.tab; FCWM_GRCF_HB_PP_BDR_CF_YLD_2012.tab; FCWM_GRCF_HB_PP_BDR_CodeBook_2011.pdf; FCWM_GRCF_HB_PP_BDR_CodeBook_2012.pdf; FCWM_GRCF_HB_PP_BDR_RESPONSE_2011.tab; FCWM_GRCF_HB_PP_BDR_RESPONSE_2012.tab; FCWM_GRCF_HB_PP_BDR_SITEDESCRIP_2011.tab; FCWM_GRCF_HB_PP_BDR_SITEDESCRIP_2012.tab; FCWM_GRCF_HB_PP_BDR_SOY_YLD_2012.tab; FCWM_GRCF_HB_PP_ENBD_CF_YLD_2011.tab; FCWM_GRCF_HB_PP_ENBD_CF_YLD_2012.tab; FCWM_GRCF_HB_PP_ENBD_CodeBook_2011.pdf; FCWM_GRCF_HB_PP_ENBD_CodeBook_2012.pdf; FCWM_GRCF_HB_PP_ENBD_RESPONSE_2011.tab; FCWM_GRCF_HB_PP_ENBD_RESPONSE_2012.tab; FCWM_GRCF_HB_PP_ENBD_SITEDESCRIP_2011.tab; FCWM_GRCF_HB_PP_ENBD_SITEDESCRIP_2012.tab","hdl:10864/S52LF"
"36","The Genetic Architecture of Flowering Time and Related Traits in Two Early Flowering Maize Lines 2007 [Canada]: Bioinformatics and Quantitative Genetics","2013-01-23","Lukens, Lewis","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Agricultural Sciences; Agriculture; Plant Culture; Agronomy; Bioinformatics; Genetic correlation; Genetic variations; Inbred lines; Maize; Quantitative genetics; Phenotype correlation; Recombinant inbred line; Single-seed descent recombinant inbred line","Flowering time is the major factor in determining maize (Zea mays L.) maturities. Genetic bases of flowering time and other agronomically important traits were examined in a set of interheterotic-pattern recombinant inbred lines (RILs). The RILs were developed from crossing the short-season Iodent inbred line CG60 with the short-season Stiff Stalk inbred line CG102. Recombinant inbred lines were derived through single-seed descent (S-RILs) or intermated for three generations before inbreeding (I-RILs), thereby increasing recombination. In this study the genetic means, covariances, and variances of flowering time (days to anthesis, DA, and days to silking, DS) and a number of flowering-time-associated traits, leaf number (LN), plant height (PH), and stay green (SG), in a set of short-season, interheterotic-pattern recombinant inbred lines (RILs) representing two levels of intermating were examined. The objectives were: (1) to evaluate the genetic basis of DA, DS, LN, PH, SG, and canopy reflectance traits within the short-season parental lines, (2) to evaluate genetic and phenotypic correlations between DA, DS, LN, PH, SG, and canopy refl ectance traits, and (3) to evaluate whether disruption of putative coupling and repulsion phase linkage blocks causes changes in population means, genetic variances, and genetic correlations.","Khanal, R., Earl, H., Lee, E.A. and Lukens, L. 2011. The genetic architecture of flowering time and related traits in two early flowering maize lines. Crop Science. 51(1): 146-156. https:/doi.org/10.2135/cropsci2010.03.0177","2007-05-09/2007-08","Canada, Ontario, Elora, Guelph","Ontario Ministry of Agriculture, Food, and Rural Affairs","INBREDSAS.csv; INBREDSAS_Codebook.pdf","hdl:10864/VPCWE"
"37","Hybrid Maize Trials 2007 to 2008 [Alma, Elora, and Waterloo, Ontario, Canada]: Bioinformatics and Quantitative Genetics","2013-03-14","Lukens, Lewis","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Agricultural Sciences; Agriculture; Plant Culture; Agronomy; Bioinformatics; Hybridization; Maize","To produce adapted maize hybrids, inbred lines are often independently selected from distinct populations. We investigate the genetic basis of two elite maize inbreds’ adaptation to a short-season environment to determine if selection for inbreds in different populations leads to the development of inbred lines with large but hidden genetic differences. We developed selfed recombinant inbred lines (SRILs) and intermated recombinant inbred lines (IRILs) from two early-season adapted lines and examined trait variation within hybrids between these lines and a tester. Hybrids’ flowering time, leaf number, stay green, yield, and yield component traits were measured in multiple locations.","","2007/2008","Canada, Ontario, Alma, Elora, Waterloo","","HYBRIDSAS.csv; HYBRIDSAS_Codebook.pdf","hdl:10864/10277"
"38","Evaluation of insecticides for control of onion maggot in yellow cooking onions [Canada] 2011: Onion cultivar trial.","2012-12-20","McDonald, Mary Ruth","","Agricultural Sciences; Agriculture; Agricultural education; Pests and diseases; Plant culture; Organic farming; Organic plant protection; Vegetables; Crop management; Crop protection; Insecticides; Muck crops; Plant disease management; Plant pathology; Onion maggot","Various seed treatments for yellow cooking onions were evaluated in a field trial on organic soil naturally infested with Delia antiqua pupae at the Muck Crops Research Station, Holland Marsh, Kettleby, Ontario (2011). There were eleven different insecticide treatment units and one untreated control unit. A randomized complete block design with four replicates per treatment was used. Three 2 metre plots were staked out in each experimental unit in which measurements were made. All onions were seeded on 10 May. Germination counts were conducted on 30 May and 6 June to determine initial stands prior to the first generation assessment. Plants were examined for onion maggot or damage caused by other pests within the staked out sections on 21 June and 5 July. At this time damaged plants were removed and the cause recorded. Onion maggot damage was recorded two weeks after the first (30 June) and second generation (22 August) peaks and at onion bulb maturity (22 September). Bulbs were harvested (12 September), counted and weighed (6 January 2012) to determine yield.","McDonald, M.R., Janse, S., Riches, L., Tesfaendrias, M., Vander Kooi, K. (2011). Muck Vegetable Cultivar Trial and Research Report. University of Guelph. Department of Plant Agriculture and the Office of Research.","2011-05-10/2012-01-06","Canada, Holland Marsh, Ontario, Kettleby","Ontario Ministry of Agriculture, Food, and Rural Affairs; California Onion and Garlic Research Advisory Board; Holland March Growers' Association through the Bradford Cooperative and Storage Ltd.; New York State Agricultural Experiment Station, Cornell University; University of Guelph","Onion_Maggot_All_Data_2011.csv; Onion_Maggot_All_Data_2011_Codebook.pdf; Onion_Maggot_All_Data_ddi21_Metadata_20120528.xml; Onion_Maggot_Yield_2011.csv; Onion_Maggot_Yield_2011_Codebook.pdf; Onion_Maggot_Yield_ddi21_Metadata_20120528.xml","hdl:10864/CO0DC"
"39","Canadian Bean Adaptation Trials Elora and St.Thomas, Ontario, Lethbridge and Morden, Alberta, Outlook and Saskatoon, Saskatchewan [Canada] 2010 and 2012","2013-10-04","Navabi, Dr.Ali; Pauls, Dr.Peter","Agriculture Agri-Food Canada/Department of Plant Agriculture. Ontario Agricultural College. University of Guelph; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph","Agricultural Sciences; Agriculture; Plant culture; Seeds; Seed Technology; Food Crops; Field Crops; Adaptation trials; Applied genetic research; Bean varieties; Black; Common bacterial blight; Cranberry; Dark red kidney; Disease tolerance; Field bean breeding; Great Northern; Navy; Pedigree; Pinto; Productivity; Small red; Yellow","This study is part of the Field Bean Breeding Program, a multi-disciplinary approach towards developing bean varieties for sustainable dry bean production in Ontario. As part of this program, adaptation trials are conducted annually at various locations across the main bean growing areas in Canada. This study provides the results of the 2010 and 2012 Canadian Bean Adaptation Trials (CBAP) where several varieties of beans were evaluated in multi-location yield-trials across Canada. In 2010, bean entries were planted in replicated test plots at five locations across Canada; Elora, Ontario, Lethbridge, Alberta, Morden, Alberta, Saskatoon, Saskatchewan, and St.Thomas, Ontario, however, the 2010 CBAP file only includes trial data for Elora, Morden, and St.Thomas. In 2012, bean entries were planted in replicated test plots at five locations across Canada; Elora, Ontario, Lethbridge, Alberta, Morden, Alberta, Outlook, Saskatchewan, and St.Thomas, Ontario. Agronomic data including yield (adjusted to 18% moisture after combine harvest), days to maturity (number of days from planting to maturity), seed weight (estimated for 100 seeds), and seed quality were collected for each plot in each location.","","2010/2012","Canada, Alberta, Lethbridge, Morden, Ontario, Elora, St. Thomas, Saskatchewan, Outlook, Saskatoon","Ontario Ministry of Agriculture and Food","2ND_Canadian_Bean_Adaptation_Trial_2010.tab; 2ND_Canadian_Bean_Adaptation_Trial_Agronomic_Information_2010.pdf; 2ND_Canadian_Bean_Adaptation_Trial_Entry_List_2010.tab; 2ND_Canadian_Bean_Adaptation_Trial_Site_Information_2010.tab; 4TH_Canadian_Bean_Adaptation_Trials_Entry_List_2012.tab; 4TH_Canadian_Bean_Adaptation_Trial_2012.tab; 4TH_Canadian_Bean_Adaptation_Trial_Agronomic_Information_2012.pdf; 4TH_Canadian_Bean_Adaptation_Trial_Seed_Information_2012.pdf; 4TH_Canadian_Bean_Adaptation_Trial_Site_Information_2012.tab; Codebook_Canadian_Bean_Adaptation_Trial.pdf","hdl:10864/GCAD1"
"40","Control and distribution of glyphosate-resistant giant ragweed in Ontario: Windsor, LaSalle, and Amherstburg, Essex County, Ontario [Canada] 2011 and 2012","2013-11-27","Follings, Joanna; Sikkema, Peter","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph Ridgetown Campus; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph Ridgetown Campus","Agricultural Sciences; Agriculture; Plant Culture; Pests and Diseases; Weeds, parasitic plants; Ambrosia trifida L.; giant ragweed; Glycine max L.; Glyphosate-resistant; herbicide; postemergence; preplant; soybean","This dataset is comprised of two surveys examining the control of glyphosate resistant giant ragweed in soybean with 1) preplant herbicides and 2) postemergence herbicides and 2,4-D dose response. The objective of the first survey was to determine effective control options for glyphosate resistant giant ragweed in soybean with herbicides applied preplant. Eighteen herbicide combinations were evaluated in field studies conducted in 2011 and 2012 at five locations with confirmed glyphosate resistant giant ragweed. The field sites were located near Windsor (L2 and L5), LaSalle (L1 and L4) and Amherstburg (L3), Essex County, Ontario. Two sets of experiments evaluating the effectiveness of glyphosate tankmixes with herbicides applied preplant were conducted. The first experiment (enhanced burndown) evaluated herbicides applied preplant (PP) that provided limited or no residual control. The second experiment (burndown plus residual) evaluated herbicides applied PP that provided burndown plus residual control. The second survey had two objectives; this first being to determine the efficacy of all the currently registered postemergence broadleaf herbicides registered for use in Ontario in soybean and the second objective was to determine the lowest effective rate of 2,4-D tank mixed with glyphosate and applied as a preplant burndown for control of glyphosate-resistant giant ragweed in soybean. Field studies were conducted in 2011 and 2012 at six locations for the postemergence broadleaf herbicide experiment and five locations for the 2,4-D dose response experiment with confirmed glyphosate resistant giant ragweed. The field sites were located near Windsor (L2 and L5), LaSalle (L1, L4 and L6) and Amherstburg (L3), Essex County, Ontario. The first series of experiments evaluated the effectiveness of ten postemergence broadleaf herbicide combinations. The second series of experiments, referred to as “dose response” evaluated the biologically effective rate of seven rates of 2,4-D.","Follings, Joanna. 2013. Control and Distribution of Glyphosate Resistant Giant Ragweed in Ontario. M.Sc. in Plant Agriculture. University of Guelph., Follings, J. , Soltani, N. , Robinson, D. , Tardif, F. , Lawton, M. and Sikkema, P. 2013. Control of glyphosate resistant giant ragweed in soybean with preplant herbicides. Agricultural Sciences, 4, 195-205.","2011/2012","Canada, Ontario, Amherstburg, LaSalle, Windsor","Monsanto Canada Inc.; The Grain Farmers of Ontario; The Agricultural Adaptation Council","FCWM_GRGR_JF_POST_24D_CodeBook_2011.pdf; FCWM_GRGR_JF_POST_24D_CodeBook_2012.pdf; FCWM_GRGR_JF_POST_24D_GR_YLD_2011.tab; FCWM_GRGR_JF_POST_24D_GR_YLD_2012.tab; FCWM_GRGR_JF_POST_24D_RESPONSE_2011.tab; FCWM_GRGR_JF_POST_24D_RESPONSE_2012.tab; FCWM_GRGR_JF_POST_24D_SITEDESCRIP_2011.tab; FCWM_GRGR_JF_POST_24D_SITEDESCRIP_2012.tab; FCWM_GRGR_JF_POST_24D_SOY_YLD_2011.tab; FCWM_GRGR_JF_POST_24D_SOY_YLD_2012.tab; FCWM_GRGR_JF_POST_PT_CodeBook_2011.pdf; FCWM_GRGR_JF_POST_PT_CodeBook_2012.pdf; FCWM_GRGR_JF_POST_PT_GR_YLD_2011.tab; FCWM_GRGR_JF_POST_PT_GR_YLD_2012.tab; FCWM_GRGR_JF_POST_PT_RESPONSE_2011.tab; FCWM_GRGR_JF_POST_PT_RESPONSE_2012.tab; FCWM_GRGR_JF_POST_PT_SITEDESCRIP_2011.tab; FCWM_GRGR_JF_POST_PT_SITEDESCRIP_2012.tab; FCWM_GRGR_JF_POST_PT_SOY_YLD_2011.tab; FCWM_GRGR_JF_POST_PT_SOY_YLD_2012.tab; FCWM_GRGR_JF_PP_BDR_CodeBook_2011.pdf; FCWM_GRGR_JF_PP_BDR_CodeBook_2012.pdf; FCWM_GRGR_JF_PP_BDR_GR_YLD_2011.tab; FCWM_GRGR_JF_PP_BDR_GR_YLD_2012.tab; FCWM_GRGR_JF_PP_BDR_RESPONSE_2011.tab; FCWM_GRGR_JF_PP_BDR_RESPONSE_2012.tab; FCWM_GRGR_JF_PP_BDR_SITEDESCRIP_2011.tab; FCWM_GRGR_JF_PP_BDR_SITEDESCRIP_2012.tab; FCWM_GRGR_JF_PP_BDR_SOY_YLD_2011.tab; FCWM_GRGR_JF_PP_BDR_SOY_YLD_2012.tab; FCWM_GRGR_JF_PP_ENBD_CodeBook_2011.pdf; FCWM_GRGR_JF_PP_ENBD_CodeBook_2012.pdf; FCWM_GRGR_JF_PP_ENBD_GR_YLD_2011.tab; FCWM_GRGR_JF_PP_ENBD_GR_YLD_2012.tab; FCWM_GRGR_JF_PP_ENBD_RESPONSE_2011.tab; FCWM_GRGR_JF_PP_ENBD_RESPONSE_2012.tab; FCWM_GRGR_JF_PP_ENBD_SITEDESCRIP_2011.tab; FCWM_GRGR_JF_PP_ENBD_SITEDESCRIP_2012.tab; FCWM_GRGR_JF_PP_ENBD_SOY_YLD_2011.tab; FCWM_GRGR_JF_PP_ENBD_SOY_YLD_2012.tab","hdl:10864/F3FYT"
