"","Title","PublicationDate","Authors","Subject","Keywords","DataType","Objectives","PeriodCovered","Affiliations","NameOfDataverse","DOI"
"13","Replication data for: In pursuit of a better broiler: a comparison of the inactivity, behavior, and enrichment use of fast- and slower growing broiler chickens","2021-11-25","Dawson, Lauren C.; Widowski, Tina M.; Zhenzhen, Liu; Edwards, A. Michelle; Torrey, Stephanie","Agricultural Sciences","broiler chicken; welfare; inactivity; behaviour; slower-growing","Experimental data","Selection for rapid growth has produced heavier, more efficient broiler chickens, but has also introduced health and welfare issues, which may cause or be caused by inactivity. Rapid growth may also limit the performance of motivated behaviors, whereas the provision of enrichment may increase these behaviors and general activity. This study aimed to evaluate the inactivity, behavior patterns, and enrichment use of 2 fast- (CONV) and 12 slower-growing broiler strains (categorized as fastest [FAST], moderate [MOD], and slowest slow [SLOW]), based on their growth rates; 4 strains/category]. To evaluate inactivity, one male and one female from 153 pens were outfitted with omnidirectional accelerometers from d 21 until processing (14 −24 birds/strain from 8 to 12 pens/strain). Additionally, to supplement inactivity data, 5-min continuous behavioral observations of four focal birds per pen (2 males, 2 females) were conducted on days 26, 42, and 56 (72−148 observations of 8−12 pens/strain) to quantify the duration and frequency of various behaviors; at the same time, 5 to 11 instantaneous scan samples were also performed for pen-based enrichment use. Inactivity peaked at 78 to 80% of the day for all strains; however, those with slower growth rates reached these levels at older ages. Compared to slower growing strains at the same age, faster growing strains were more inactive, spent more time sitting and feeding, spent less time standing and walking, and used enrichments less; these differences mostly occurred at younger ages. Generally, at the same age, strains with similar growth rates (within the same category) behaved similarly, with only a few exceptions. Results suggest that not all strains identified as “slow-growing” broilers behave differently from fast-growing broilers, nor do they all behave similarly to each other. As such, results suggest that improved broiler welfare, particularly with respect to reduced inactivity, the performance of a wider range of normal, motivated behaviors, and/or increased enrichment use, is related to the broiler strain’s specific growth rate."," to  ","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP3/JQ5JHU"
"14","Replication data for: In pursuit of a better broiler: carcass traits and muscle myopathies in conventional and slower-growing strains of broiler chickens","2021-11-29","Santos, Midian N.; Rothschild, Daniel; Widowski, Tina M.; Barbut, Shai; Kiarie, Elijah G.; Mandell, Ira; Guein, Michele T.; Edwards, A. Michelle; Torrey, Stephanie","Agricultural Sciences","meat yield; myopathies; processing traits; slow-growth; chicken meat","Experimental data","Selection for accelerated growth rate and high breast yield in broiler chickens have been associated with an increase in myopathies, including wooden breast (WB) and white striping (WS). To investigate effects of growth rate on carcass traits and incidence of myopathies, 14 strains were evaluated, encompassing 2 conventional(CONV; strains B and C: ADG0-48 > 60 g/d)and 12 slower-growing (SL) strains. The latter were categorized based on growth rate: FAST (strains F, G, I and M; ADG0-62=53−55 g/d), MOD (strains E, H, O and S; ADG0-62=50-51 g/d), and SLOW (strains D, J, K and N; ADG0-62<50 g/d). In a randomized incomplete block design, 7,216 mixed-sex birds were equally allocated into 164 pens (44 birds/pen; 30 kg/m2), with each strain represented in 8 to 12 pens over 2 to 3 production cycles. From each pen, 4 males and 4 females were processed at 2 Target Weights (TWs) based on their expected time to reach 2.1 kg BW (TW 1: 34 d for CONV; 48 d for SL strains) and 3.2 kg BW (TW 2: 48 d for CONV; 62 d for SL strains). Weights and yields for the carcass, breast, drumsticks, thighs, and wings were obtained; breast fillets were assessed to determine the presence and severity of WB and WS. At both TWs, breast yield was higher as growth rate increased (P < 0.001), with CONV having greater breast yield than other categories. Strain F had the greatest breast yield at both TWs (P < 0.001) within the FAST category. At TW 2, CONV had the greatest incidence of WB and WS (P < 0.001). However, within FAST, strain F had the greatest incidence of myopathies (P < 0.001) at both TWs, exhibiting values as high or as greater than CONV birds. The incidence of WB and WS in strains with differing growth rates but high breast meat yield suggests that the latter may play a major role in the occurrence of these myopathies."," to  ","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; NA; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; NA; NA; NA; NA; Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP3/T36W8L"
"15","Dataset for: 'The effect of creep feed composition and form on pre- and post-weaning growth performance of pigs and the utilization of low-complexity nursery diets' and 'The effect of creep feed composition and form and nursery diet complexity on small intestinal morphology and jejunal mucosa specific enzyme activities after weaning in pigs'","2021-12-23","Christensen, Brenda; Huber, Lee-Anne","Agricultural Sciences","creep feed; growth performance; milk replacer; nursery diet complexity; pigs; gut morphology; specific enzyme activity","Experimental data","Sows’ milk as a sole source of nutrients limits growth of piglets and fails to habituate piglets to pelleted, plant-based post-weaning diets. The aim of this project was to evaluate pre- and post-weaning nutritional strategies on piglet growth performance, gut development, and immune response.","2018-11 to  2021-12","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP3/THJPPG"
"16","Replication Data for: A novel method of estimating 24-h corrected milk yields in automated milking systems","2022-03-18","Seymour, Dave; Cant, John; Osborne, Vern; Chud, Tatiane; Schenkel, Flavio; Miglior, Filippo","Agricultural Sciences","dairy cattle; lactation; milking interval; precision management; robotic milking","Experimental data","Contains raw milk yield data from 5 primiparous Holstein cattle collected in the automatic milking system of the Ontario Dairy Research Centre with an accompanying SAS program file to calculate interval-adjusted 24-h corrected milk yields.","2017 to  2018","Trouw Nutrition R&D; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Fast Genetics; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP3/PZJB4L"
"17","Supplemental tables for: Gastrointestinal permeability and inflammatory status of preweaning dairy calves in response to decreasing the omega-6 to omega-3 fatty acid ratio of milk replacer","2023-01-14","Welboren, Anna","Agricultural Sciences","dairy calf; milk replacer; omega-3","Experimental data","This study evaluated the effects of decreasing the omega-6 to omega-3 fatty acid ratio in calf milk replacer by adding omega-3-rich oils (i.e., linseed and algae oil) on gastrointestinal permeability and inflammatory status of preweaning dairy calves.","2021-03 to  2021-04","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP3/SYXAN1"
"18","Supplementary material for: Fitting mathematical functions to extended lactation curves and forecasting late-lactation milk yields of dairy cows","2023-01-25","Innes, David; Pot, Linaya; Seymour, Dave; France, James; Dijkstra, Jan; Doelman, John; Cant, John","Agricultural Sciences","mathematical model; lactation curve; extended lactation","Supplemental figures; Code","<p>This dataset contains supplementary files for the publication titled: <i>Fitting mathematical functions to extended lactation curves and forecasting late-lactation milk yields of dairy cows</i>.</p>
<p>It also contains a folder with a copy of the code used for the analysis. This code is  maintained in GitHub at: <a href=""https://github.com/CNM-University-of-Guelph/forecasting-extended-lactation"">CNM-University-of-Guelph/forecasting-extended-lactation</a>.</p>"," to  ","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Trouw Nutrition R&D; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Wageningen University and Research; Trouw Nutrition R&D; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP3/4QVI0O"
"19","Supplemental material for: Effects of Echinacea purpurea supplementation on markers of immunity, health, intake, and growth of dairy calves","2023-01-26","McNeil, Brooke; DeVries, Trevor","Agricultural Sciences","feed additive; medicinal herb; phytotherapy","Supplemental tables; Supplemental figures; Experimental data","In this study we investigated how supplementing calves with Echinacea purpurea affects markers of immunity, health, intake, and growth.","2020 to  2021","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP3/ES2TLC"
"20","Supplemental data for: Colostrum insulin supplementation to neonatal Holstein bulls affects small intestinal histomorphology, mRNA expression, and enzymatic activity with minor influences on peripheral metabolism","2023-04-21","Hare, Koryn","Agricultural Sciences","Colostrum; insulin; neonate; bull; intestine","Supplementary materials","This study evaluated how supplementing insulin in colostrum to 5 and 10 times the basal concentration affected intestinal development and metabolism in neonatal Holstein bulls.","2019-08 to  2020-07","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP3/XED4N5"
"21","Supplementary Materials for: Flexible feeding: Dairy cow personality affects changes in feeding behavior and milk production under feed competition conditions","2023-11-14","Schwanke, Anna J.; Neave, H.W.; Penner, G.B.; Bergeron, R.; DeVries, Trevor J.","Agricultural Sciences","Feeding Behavior; Behavioral Traits; Personality","Supplementary tables","This study investigated the effects of dairy cow personality traits, feeding competition, and lactation stage on feeding behavior and production.This dataset contains summary statistics and data analyses with non-significant results.","2020-01-01 to  2020-06-05","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal and Veterinary Science. Aarhus University.; Department of Animal and Poultry Science. University of Saskatchewan.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP3/VMAZID"
"22","Regional differences of nutritional feeding strategies of the partially mixed ration (PMR) and the concentrate  offered at the automated milking system (AMS) as determined from feed sampled when each farm was visited (mean ± SE)","2024-01-26","Van Soest, Brandon; Matson, Robert; Santschi, Debora; Duffield, Todd; Steele, Michael; Orsel, Karin; Pajor, Edmond; Penner, Gregory; Mutsvangwa, Timothy; DeVries, Trevor","Agricultural Sciences","dairy nutrition; Automatic milking system; Robotic milking","Supplemental table; Survey data","This data set summarizes the nutrient composition of the partially mixed ration and automated milking system concentrates feed both nationally and regionally.","2019-04-01 to  2019-09-30","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Lactanet; Department of Population Medicine. Ontario Veterinary College. University of Guelph.; Department of Population Medicine. Ontario Veterinary College. University of Guelph.; Faculty of Veterinary Medicine. University of Calgary.; Faculty of Veterinary Medicine. University of Calgary.; College of Agriculture and Bioresources. University of Saskatchewan.; College of Agriculture and Bioresources. University of Saskatchewan.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP3/YWKCKV"
"23","Amino acids nutrition for optimal gut health and productivity in broiler chickens raised without antimicrobial growth promoters","2024-02-21","Kim, Emily; Létourneau-Montminy, Marie-Pierre; Lambert, William; Chalvon-Demersay, Tristan; Barta, John R.; Kiarie, Elijah","Agricultural Sciences","amino acids; broiler chickens; coccidiosis; Eimeria","Experimental data","Coccidiosis is an avian parasitic disease caused by the protozoan genus Eimeria and a significant contributor to economic losses in poultry production due to its detrimental effects on nutrient absorption and growth performance. The dataset contains experimentations on the impact of Eimeria on amino acids digestibility and utilization in broiler chickens.","2019-09-09 to  2023-05-04","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Département des Sciences Animales. Université Laval.; METEX NØØVISTAGO; METEX NOOVISTAGO; Department of Pathobiology. Ontario Veterinary College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP3/E8MY75"
"24","Growth performance, organs weight, intestinal histomorphology, and oocyst shedding in broiler chickens offered novel single strain Bacillus subtilis isolated from camel dung and challenged with Eimeria","2024-02-29","Gelinas, Alison; Sudan, Sudhanshu; Patterson, Rob; Li, Julang; Huyben, David; Barta, John R.; Kiarie, Elijah","Agricultural Sciences","Bacillus subtilis; broiler chicken; Eimeria; growth performance; intestinal health","Experimental data","We evaluated a single strain Bacillus subtilis BS-9 direct-fed microbial (BSDFM) isolated from camel dung in Eimeria challenged broiler chickens. Seven-hundred d-old Ross 708 male chicks were placed in pens (25 birds/pen) and allocated to 2 treatments (n = 14). From d 0 to 13, control pens received untreated water (-BSDFM), and 2 treated pens received water and 2 mL x 108 colony forming unit/bird/d (+BSDFM); daily water intake (WI) was recorded. On d 9, birds in half (+Eimeria) of pens per treatment received of 1 mL of Eimeria maxima and Eimeria acervulina oocysts orally, and the other half (-Eimeria) sterile saline solution. Birds had ad libitum access to feed and a water line from d 14. Feed intake (FI), body weight (BW) and mortality were recorded for calculating BW gain (BWG) and feed conversion ratio (FCR). On d 14 and 35, samples of birds were necropsied for organ weight and intestinal measurements. Excreta samples were collected from d 14 to 19 for oocyst count. There was no treatment effect (P > 0.05) on growth performance or WI on d 0 to 9. There were interactions between BSDFM and Eimeria on d 19 (P = 0.014) and 29 (P = 0.036) BW with unchallenged +BSDFM birds being heavier than birds in the other treatments. The main effects (P < 0.05) on d 10 to 35 FI, BW, and BWG were such that +BSDFM increased and Eimeria decreased (P < 0.01) these parameters. There was interaction (P = 0.022) between BSDFM and Eimeria on d 10 to 35 FCR such that the FCR of challenged -BSDFM birds was poor than that of unchallenged counterparts, but none differed with +BSDFM birds. There was an interaction (P = 0.039) between BSDFM and Eimeria on d 14 bursa weight with challenged birds exhibiting heavier bursa than unchallenged +BSDFM birds. Eimeria reduced (P = 0.01) and BSDFM (P = 0.002) increased the villi height to crypt depth ratio. Results showed that BSDFM supplementation via water can support the growth performance of broiler chickens challenged with Eimeria and may be a strategy to reduce adverse effects of coccidiosis","2021-01-01 to  2023-04-25","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; CBS BioPlatforms Inc.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Pathobiology. Ontario Veterinary College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP3/SY6V2Y"
