"","type","id","title","identifier","persistentUrl","protocol","authority","publisher","publicationDate","storageIdentifier","datasetType","dataverse_title","persistent_id"
"45","dataset",490713,NA,"SP3/C8CZBK","https://doi.org/10.5683/SP3/C8CZBK","doi","10.5683","Borealis","2023-07-04","s3://10.5683/SP3/C8CZBK","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Food Science - LaPointe Team","doi:10.5683/SP3/C8CZBK"
"46","dataset",632568,NA,"SP3/KFHWLK","https://doi.org/10.5683/SP3/KFHWLK","doi","10.5683","Borealis","2023-08-09","s3://10.5683/SP3/KFHWLK","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Food Science - LaPointe Team","doi:10.5683/SP3/KFHWLK"
"47","dataset",640849,NA,"SP3/RZ2JJK","https://doi.org/10.5683/SP3/RZ2JJK","doi","10.5683","Borealis","2023-08-24","s3://10.5683/SP3/RZ2JJK","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Food Science - LaPointe Team","doi:10.5683/SP3/RZ2JJK"
"48","dataset",766372,NA,"SP3/G2DU0Q","https://doi.org/10.5683/SP3/G2DU0Q","doi","10.5683","Borealis","2024-08-09","s3://10.5683/SP3/G2DU0Q","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Food Science - LaPointe Team","doi:10.5683/SP3/G2DU0Q"
"49","dataset",472,NA,"SP3/MJF1LH","https://doi.org/10.5683/SP3/MJF1LH","doi","10.5683","Borealis","2013-10-04","s3://10864/5YE7Z","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/MJF1LH"
"50","dataset",474,NA,"SP3/YWEWMN","https://doi.org/10.5683/SP3/YWEWMN","doi","10.5683","Borealis","2013-12-06","s3://10864/S52LF","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/YWEWMN"
"51","dataset",477,NA,"SP3/YTIHQI","https://doi.org/10.5683/SP3/YTIHQI","doi","10.5683","Borealis","2013-01-23","s3://10864/VPCWE","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/YTIHQI"
"52","dataset",482,NA,"SP3/GAYK15","https://doi.org/10.5683/SP3/GAYK15","doi","10.5683","Borealis","2013-03-14","s3://10864/10277","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/GAYK15"
"53","dataset",484,NA,"SP3/2D3PGA","https://doi.org/10.5683/SP3/2D3PGA","doi","10.5683","Borealis","2012-12-20","s3://10864/CO0DC","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/2D3PGA"
"54","dataset",485,NA,"SP3/ZOMPLU","https://doi.org/10.5683/SP3/ZOMPLU","doi","10.5683","Borealis","2013-10-04","s3://10864/GCAD1","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/ZOMPLU"
"55","dataset",487,NA,"SP3/GQ6RZI","https://doi.org/10.5683/SP3/GQ6RZI","doi","10.5683","Borealis","2013-11-27","s3://10864/F3FYT","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/GQ6RZI"
"56","dataset",489,NA,"SP3/50TPCR","https://doi.org/10.5683/SP3/50TPCR","doi","10.5683","Borealis","2013-10-04","s3://10864/AVJBX","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/50TPCR"
"57","dataset",496,NA,"SP3/VFSEOL","https://doi.org/10.5683/SP3/VFSEOL","doi","10.5683","Borealis","2013-11-27","s3://10864/OKQZV","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/VFSEOL"
"58","dataset",75462,NA,"SP2/NZY3W5","https://doi.org/10.5683/SP2/NZY3W5","doi","10.5683","Borealis","2019-05-06","s3://10.5683/SP2/NZY3W5","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP2/NZY3W5"
"59","dataset",106233,NA,"SP2/CSROC9","https://doi.org/10.5683/SP2/CSROC9","doi","10.5683","Borealis","2023-05-30","s3://10.5683/SP2/CSROC9","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP2/CSROC9"
"60","dataset",124935,NA,"SP2/DJB7VY","https://doi.org/10.5683/SP2/DJB7VY","doi","10.5683","Borealis","2020-09-22","s3://10.5683/SP2/DJB7VY","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP2/DJB7VY"
"61","dataset",159410,NA,"SP2/UYORM4","https://doi.org/10.5683/SP2/UYORM4","doi","10.5683","Borealis","2021-05-03","s3://10.5683/SP2/UYORM4","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP2/UYORM4"
"62","dataset",192512,NA,"SP2/1ZVWFV","https://doi.org/10.5683/SP2/1ZVWFV","doi","10.5683","Borealis","2021-09-24","s3://10.5683/SP2/1ZVWFV","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP2/1ZVWFV"
"63","dataset",197656,NA,"SP2/Q76AWD","https://doi.org/10.5683/SP2/Q76AWD","doi","10.5683","Borealis","2021-08-09","s3://10.5683/SP2/Q76AWD","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP2/Q76AWD"
"64","dataset",291040,NA,"SP3/OQ0DC3","https://doi.org/10.5683/SP3/OQ0DC3","doi","10.5683","Borealis","2022-03-31","s3://10.5683/SP3/OQ0DC3","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/OQ0DC3"
"65","dataset",291273,NA,"SP3/EHK8MK","https://doi.org/10.5683/SP3/EHK8MK","doi","10.5683","Borealis","2022-04-05","s3://10.5683/SP3/EHK8MK","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/EHK8MK"
"66","dataset",291282,NA,"SP3/NNCQWA","https://doi.org/10.5683/SP3/NNCQWA","doi","10.5683","Borealis","2022-03-31","s3://10.5683/SP3/NNCQWA","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/NNCQWA"
"67","dataset",291287,NA,"SP3/IIDW9N","https://doi.org/10.5683/SP3/IIDW9N","doi","10.5683","Borealis","2022-03-30","s3://10.5683/SP3/IIDW9N","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/IIDW9N"
"68","dataset",314424,NA,"SP3/LE47JM","https://doi.org/10.5683/SP3/LE47JM","doi","10.5683","Borealis","2022-03-31","s3://10.5683/SP3/LE47JM","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/LE47JM"
"69","dataset",316038,NA,"SP3/M329HX","https://doi.org/10.5683/SP3/M329HX","doi","10.5683","Borealis","2022-03-30","s3://10.5683/SP3/M329HX","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/M329HX"
"70","dataset",341916,NA,"SP3/F1QNJB","https://doi.org/10.5683/SP3/F1QNJB","doi","10.5683","Borealis","2022-06-09","s3://10.5683/SP3/F1QNJB","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/F1QNJB"
"71","dataset",425081,NA,"SP3/X11T1I","https://doi.org/10.5683/SP3/X11T1I","doi","10.5683","Borealis","2022-12-16","s3://10.5683/SP3/X11T1I","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/X11T1I"
"72","dataset",446972,NA,"SP3/CEUQOZ","https://doi.org/10.5683/SP3/CEUQOZ","doi","10.5683","Borealis","2023-03-16","s3://10.5683/SP3/CEUQOZ","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/CEUQOZ"
"73","dataset",466065,NA,"SP3/DSLB8F","https://doi.org/10.5683/SP3/DSLB8F","doi","10.5683","Borealis","2023-05-04","s3://10.5683/SP3/DSLB8F","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/DSLB8F"
"74","dataset",474260,NA,"SP3/FUY6UZ","https://doi.org/10.5683/SP3/FUY6UZ","doi","10.5683","Borealis","2023-05-15","s3://10.5683/SP3/FUY6UZ","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/FUY6UZ"
"75","dataset",477514,NA,"SP3/1CMUAP","https://doi.org/10.5683/SP3/1CMUAP","doi","10.5683","Borealis","2023-05-29","s3://10.5683/SP3/1CMUAP","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/1CMUAP"
"76","dataset",491154,NA,"SP3/TUQWGV","https://doi.org/10.5683/SP3/TUQWGV","doi","10.5683","Borealis","2023-06-23","s3://10.5683/SP3/TUQWGV","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/TUQWGV"
"77","dataset",491158,NA,"SP3/TZQIWO","https://doi.org/10.5683/SP3/TZQIWO","doi","10.5683","Borealis","2023-06-23","s3://10.5683/SP3/TZQIWO","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/TZQIWO"
"78","dataset",491163,NA,"SP3/BHYHZJ","https://doi.org/10.5683/SP3/BHYHZJ","doi","10.5683","Borealis","2023-06-23","s3://10.5683/SP3/BHYHZJ","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/BHYHZJ"
"79","dataset",667619,NA,"SP3/FD81LR","https://doi.org/10.5683/SP3/FD81LR","doi","10.5683","Borealis","2023-11-20","s3://10.5683/SP3/FD81LR","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/FD81LR"
"80","dataset",690946,NA,"SP3/YSOKO9","https://doi.org/10.5683/SP3/YSOKO9","doi","10.5683","Borealis","2024-01-12","s3://10.5683/SP3/YSOKO9","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/YSOKO9"
"81","dataset",695583,NA,"SP3/KOHXWJ","https://doi.org/10.5683/SP3/KOHXWJ","doi","10.5683","Borealis","2024-01-31","s3://10.5683/SP3/KOHXWJ","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/KOHXWJ"
"82","dataset",714636,NA,"SP3/WYFZN0","https://doi.org/10.5683/SP3/WYFZN0","doi","10.5683","Borealis","2024-03-06","s3://10.5683/SP3/WYFZN0","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/WYFZN0"
"83","dataset",715196,NA,"SP3/RZKCPB","https://doi.org/10.5683/SP3/RZKCPB","doi","10.5683","Borealis","2024-04-04","s3://10.5683/SP3/RZKCPB","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/RZKCPB"
"84","dataset",787896,NA,"SP3/ACT2NF","https://doi.org/10.5683/SP3/ACT2NF","doi","10.5683","Borealis","2024-08-15","s3://10.5683/SP3/ACT2NF","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/ACT2NF"
"85","dataset",788755,NA,"SP3/4GXIMK","https://doi.org/10.5683/SP3/4GXIMK","doi","10.5683","Borealis","2024-08-29","s3://10.5683/SP3/4GXIMK","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/4GXIMK"
"86","dataset",819899,NA,"SP3/QEZPRZ","https://doi.org/10.5683/SP3/QEZPRZ","doi","10.5683","Borealis","2024-09-04","s3://10.5683/SP3/QEZPRZ","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/QEZPRZ"
"87","dataset",819902,NA,"SP3/TACNET","https://doi.org/10.5683/SP3/TACNET","doi","10.5683","Borealis","2024-09-04","s3://10.5683/SP3/TACNET","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/TACNET"
"88","dataset",819904,NA,"SP3/X9S5EW","https://doi.org/10.5683/SP3/X9S5EW","doi","10.5683","Borealis","2024-09-04","s3://10.5683/SP3/X9S5EW","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/X9S5EW"
"89","dataset",821219,NA,"SP3/FHKKIF","https://doi.org/10.5683/SP3/FHKKIF","doi","10.5683","Borealis","2024-09-04","s3://10.5683/SP3/FHKKIF","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/FHKKIF"
"90","dataset",821221,NA,"SP3/4WMIFN","https://doi.org/10.5683/SP3/4WMIFN","doi","10.5683","Borealis","2024-09-04","s3://10.5683/SP3/4WMIFN","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/4WMIFN"
"91","dataset",822723,NA,"SP3/MW9EEE","https://doi.org/10.5683/SP3/MW9EEE","doi","10.5683","Borealis","2024-09-05","s3://10.5683/SP3/MW9EEE","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/MW9EEE"
"92","dataset",822737,NA,"SP3/TZH42H","https://doi.org/10.5683/SP3/TZH42H","doi","10.5683","Borealis","2024-09-06","s3://10.5683/SP3/TZH42H","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/TZH42H"
"93","dataset",828631,NA,"SP3/KMIK6Z","https://doi.org/10.5683/SP3/KMIK6Z","doi","10.5683","Borealis","2024-09-13","s3://10.5683/SP3/KMIK6Z","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/KMIK6Z"
"94","dataset",856276,NA,"SP3/M79OVU","https://doi.org/10.5683/SP3/M79OVU","doi","10.5683","Borealis","2025-01-16","s3://10.5683/SP3/M79OVU","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/M79OVU"
"95","dataset",859214,NA,"SP3/ZQZ6MA","https://doi.org/10.5683/SP3/ZQZ6MA","doi","10.5683","Borealis","2025-02-04","s3://10.5683/SP3/ZQZ6MA","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/ZQZ6MA"
"96","dataset",866737,NA,"SP3/T0JJND","https://doi.org/10.5683/SP3/T0JJND","doi","10.5683","Borealis","2025-01-20","s3://10.5683/SP3/T0JJND","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Plant Agriculture","doi:10.5683/SP3/T0JJND"
